gpID,gName,circuitID#,gDate,gLaps,gRank
466,Spanish Grand Prix,,1988-10-02 00:00:00,51,14
467,Japanese Grand Prix,,1988-10-30 00:00:00,51,15
468,Australian Grand Prix,,1988-11-13 00:00:00,82,16
469,Brazilian Grand Prix,,1989-03-26 00:00:00,82,1
470,San Marino Grand Prix,,1989-04-23 00:00:00,58,2
471,Monaco Grand Prix,,1989-05-07 00:00:00,58,3
472,Mexican Grand Prix,,1989-05-28 00:00:00,58,4
473,United States Grand Prix,,1989-06-04 00:00:00,58,5
474,Canadian Grand Prix,,1989-06-18 00:00:00,69,6
475,French Grand Prix,,1989-07-09 00:00:00,69,7
476,British Grand Prix,,1989-07-16 00:00:00,69,8
477,German Grand Prix,,1989-07-30 00:00:00,69,9
478,Hungarian Grand Prix,,1989-08-13 00:00:00,77,10
479,Belgian Grand Prix,,1989-08-27 00:00:00,44,11
480,Italian Grand Prix,,1989-09-10 00:00:00,44,12
481,Portuguese Grand Prix,,1989-09-24 00:00:00,44,13
482,Spanish Grand Prix,,1989-10-01 00:00:00,73,14
483,Japanese Grand Prix,,1989-10-22 00:00:00,53,15
484,Australian Grand Prix,,1989-11-05 00:00:00,70,16
485,United States Grand Prix,,1990-03-11 00:00:00,72,1
486,Brazilian Grand Prix,,1990-03-25 00:00:00,72,2
487,San Marino Grand Prix,,1990-05-13 00:00:00,72,3
488,Monaco Grand Prix,,1990-05-27 00:00:00,78,4
489,Canadian Grand Prix,,1990-06-10 00:00:00,78,5
490,Mexican Grand Prix,,1990-06-24 00:00:00,78,6
491,French Grand Prix,,1990-07-08 00:00:00,78,7
492,British Grand Prix,,1990-07-15 00:00:00,64,8
493,German Grand Prix,,1990-07-29 00:00:00,64,9
494,Hungarian Grand Prix,,1990-08-12 00:00:00,64,10
495,Belgian Grand Prix,,1990-08-26 00:00:00,64,11
496,Italian Grand Prix,,1990-09-09 00:00:00,53,12
497,Portuguese Grand Prix,,1990-09-23 00:00:00,53,13
498,Spanish Grand Prix,,1990-09-30 00:00:00,53,14
499,Japanese Grand Prix,,1990-10-21 00:00:00,53,15
500,Australian Grand Prix,,1990-11-04 00:00:00,81,16
501,United States Grand Prix,,1991-03-10 00:00:00,81,1
502,Brazilian Grand Prix,,1991-03-24 00:00:00,71,2
503,San Marino Grand Prix,,1991-04-28 00:00:00,61,3
504,Monaco Grand Prix,,1991-05-12 00:00:00,78,4
505,Canadian Grand Prix,,1991-06-02 00:00:00,78,5
506,Mexican Grand Prix,,1991-06-16 00:00:00,78,6
507,French Grand Prix,,1991-07-07 00:00:00,78,7
508,British Grand Prix,,1991-07-14 00:00:00,78,8
509,German Grand Prix,,1991-07-28 00:00:00,45,9
510,Hungarian Grand Prix,,1991-08-11 00:00:00,77,10
511,Belgian Grand Prix,,1991-08-25 00:00:00,44,11
512,Italian Grand Prix,,1991-09-08 00:00:00,44,12
513,Portuguese Grand Prix,,1991-09-22 00:00:00,71,13
514,Spanish Grand Prix,,1991-09-29 00:00:00,71,14
515,Japanese Grand Prix,,1991-10-20 00:00:00,71,15
516,Australian Grand Prix,,1991-11-03 00:00:00,14,16
517,South African Grand Prix,,1992-03-01 00:00:00,14,1
518,Mexican Grand Prix,,1992-03-22 00:00:00,69,2
519,Brazilian Grand Prix,,1992-04-05 00:00:00,69,3
520,Spanish Grand Prix,,1992-05-03 00:00:00,69,4
521,San Marino Grand Prix,,1992-05-17 00:00:00,60,5
522,Monaco Grand Prix,,1992-05-31 00:00:00,60,6
523,Canadian Grand Prix,,1992-06-14 00:00:00,60,7
524,French Grand Prix,,1992-07-05 00:00:00,69,8
525,British Grand Prix,,1992-07-12 00:00:00,59,9
526,German Grand Prix,,1992-07-26 00:00:00,45,10
527,Hungarian Grand Prix,,1992-08-16 00:00:00,45,11
528,Belgian Grand Prix,,1992-08-30 00:00:00,45,12
529,Italian Grand Prix,,1992-09-13 00:00:00,53,13
530,Portuguese Grand Prix,,1992-09-27 00:00:00,71,14
531,Japanese Grand Prix,,1992-10-25 00:00:00,71,15
532,Australian Grand Prix,,1992-11-08 00:00:00,71,16
533,South African Grand Prix,,1993-03-14 00:00:00,72,1
534,Brazilian Grand Prix,,1993-03-28 00:00:00,72,2
535,European Grand Prix,,1993-04-11 00:00:00,72,3
536,San Marino Grand Prix,,1993-04-25 00:00:00,72,4
537,Spanish Grand Prix,,1993-05-09 00:00:00,72,5
538,Monaco Grand Prix,,1993-05-23 00:00:00,78,6
539,Canadian Grand Prix,,1993-06-13 00:00:00,69,7
540,French Grand Prix,,1993-07-04 00:00:00,72,8
541,British Grand Prix,,1993-07-11 00:00:00,72,9
542,German Grand Prix,,1993-07-25 00:00:00,72,10
543,Hungarian Grand Prix,,1993-08-15 00:00:00,77,11
544,Belgian Grand Prix,,1993-08-29 00:00:00,77,12
545,Italian Grand Prix,,1993-09-12 00:00:00,77,13
546,Portuguese Grand Prix,,1993-09-26 00:00:00,77,14
547,Japanese Grand Prix,,1993-10-24 00:00:00,77,15
548,Australian Grand Prix,,1993-11-07 00:00:00,79,16
549,Brazilian Grand Prix,,1994-03-27 00:00:00,71,1
550,Pacific Grand Prix,,1994-04-17 00:00:00,71,2
551,San Marino Grand Prix,,1994-05-01 00:00:00,58,3
552,Monaco Grand Prix,,1994-05-15 00:00:00,58,4
553,Spanish Grand Prix,,1994-05-29 00:00:00,65,5
554,Canadian Grand Prix,,1994-06-12 00:00:00,65,6
555,French Grand Prix,,1994-07-03 00:00:00,65,7
556,British Grand Prix,,1994-07-10 00:00:00,65,8
557,German Grand Prix,,1994-07-31 00:00:00,45,9
558,Hungarian Grand Prix,,1994-08-14 00:00:00,45,10
559,Belgian Grand Prix,,1994-08-28 00:00:00,44,11
560,Italian Grand Prix,,1994-09-11 00:00:00,53,12
561,Portuguese Grand Prix,,1994-09-25 00:00:00,53,13
562,European Grand Prix,,1994-10-16 00:00:00,53,14
563,Japanese Grand Prix,,1994-11-06 00:00:00,50,15
564,Australian Grand Prix,,1994-11-13 00:00:00,50,16
565,Brazilian Grand Prix,,1995-03-26 00:00:00,71,1
566,Argentine Grand Prix,,1995-04-09 00:00:00,71,2
567,San Marino Grand Prix,,1995-04-30 00:00:00,71,3
568,Spanish Grand Prix,,1995-05-14 00:00:00,65,4
569,Monaco Grand Prix,,1995-05-28 00:00:00,65,5
570,Canadian Grand Prix,,1995-06-11 00:00:00,65,6
571,French Grand Prix,,1995-07-02 00:00:00,72,7
572,British Grand Prix,,1995-07-16 00:00:00,72,8
573,German Grand Prix,,1995-07-30 00:00:00,72,9
574,Hungarian Grand Prix,,1995-08-13 00:00:00,72,10
575,Belgian Grand Prix,,1995-08-27 00:00:00,72,11
576,Italian Grand Prix,,1995-09-10 00:00:00,53,12
577,Portuguese Grand Prix,,1995-09-24 00:00:00,53,13
578,European Grand Prix,,1995-10-01 00:00:00,53,14
579,Pacific Grand Prix,,1995-10-22 00:00:00,83,15
580,Japanese Grand Prix,,1995-10-29 00:00:00,83,16
581,Australian Grand Prix,,1995-11-12 00:00:00,83,17
582,Australian Grand Prix,,1996-03-10 00:00:00,58,1
583,Brazilian Grand Prix,,1996-03-31 00:00:00,71,2
584,Argentine Grand Prix,,1996-04-07 00:00:00,71,3
585,European Grand Prix,,1996-04-28 00:00:00,71,4
586,San Marino Grand Prix,,1996-05-05 00:00:00,63,5
587,Monaco Grand Prix,,1996-05-19 00:00:00,63,6
588,Spanish Grand Prix,,1996-06-02 00:00:00,63,7
589,Canadian Grand Prix,,1996-06-16 00:00:00,63,8
590,French Grand Prix,,1996-06-30 00:00:00,72,9
591,British Grand Prix,,1996-07-14 00:00:00,72,10
592,German Grand Prix,,1996-07-28 00:00:00,72,11
593,Hungarian Grand Prix,,1996-08-11 00:00:00,72,12
594,Belgian Grand Prix,,1996-08-25 00:00:00,44,13
595,Italian Grand Prix,,1996-09-08 00:00:00,44,14
596,Portuguese Grand Prix,,1996-09-22 00:00:00,44,15
597,Japanese Grand Prix,,1996-10-13 00:00:00,44,16
598,Australian Grand Prix,,1997-03-09 00:00:00,58,1
599,Brazilian Grand Prix,,1997-03-30 00:00:00,58,2
600,Argentine Grand Prix,,1997-04-13 00:00:00,58,3
601,San Marino Grand Prix,,1997-04-27 00:00:00,58,4
602,Monaco Grand Prix,,1997-05-11 00:00:00,62,5
603,Spanish Grand Prix,,1997-05-25 00:00:00,64,6
604,Canadian Grand Prix,,1997-06-15 00:00:00,64,7
605,French Grand Prix,,1997-06-29 00:00:00,64,8
606,British Grand Prix,,1997-07-13 00:00:00,59,9
607,German Grand Prix,,1997-07-27 00:00:00,59,10
608,Hungarian Grand Prix,,1997-08-10 00:00:00,59,11
609,Belgian Grand Prix,,1997-08-24 00:00:00,59,12
610,Italian Grand Prix,,1997-09-07 00:00:00,53,13
611,Austrian Grand Prix,,1997-09-21 00:00:00,53,14
612,Luxembourg Grand Prix,,1997-09-28 00:00:00,53,15
613,Japanese Grand Prix,,1997-10-12 00:00:00,53,16
614,European Grand Prix,,1997-10-26 00:00:00,69,17
615,Australian Grand Prix,,1998-03-08 00:00:00,69,1
616,Brazilian Grand Prix,,1998-03-29 00:00:00,72,2
617,Argentine Grand Prix,,1998-04-12 00:00:00,72,3
618,San Marino Grand Prix,,1998-04-26 00:00:00,72,4
619,Spanish Grand Prix,,1998-05-10 00:00:00,65,5
620,Monaco Grand Prix,,1998-05-24 00:00:00,78,6
621,Canadian Grand Prix,,1998-06-07 00:00:00,78,7
622,French Grand Prix,,1998-06-28 00:00:00,71,8
623,British Grand Prix,,1998-07-12 00:00:00,71,9
624,Austrian Grand Prix,,1998-07-26 00:00:00,71,10
625,German Grand Prix,,1998-08-02 00:00:00,71,11
626,Hungarian Grand Prix,,1998-08-16 00:00:00,77,12
627,Belgian Grand Prix,,1998-08-30 00:00:00,77,13
628,Italian Grand Prix,,1998-09-13 00:00:00,77,14
629,Luxembourg Grand Prix,,1998-09-27 00:00:00,77,15
630,Japanese Grand Prix,,1998-11-01 00:00:00,77,16
631,Australian Grand Prix,,1999-03-07 00:00:00,57,1
632,Brazilian Grand Prix,,1999-04-11 00:00:00,72,2
633,San Marino Grand Prix,,1999-05-02 00:00:00,72,3
634,Monaco Grand Prix,,1999-05-16 00:00:00,72,4
635,Spanish Grand Prix,,1999-05-30 00:00:00,65,5
636,Canadian Grand Prix,,1999-06-13 00:00:00,69,6
637,French Grand Prix,,1999-06-27 00:00:00,69,7
638,British Grand Prix,,1999-07-11 00:00:00,69,8
639,Austrian Grand Prix,,1999-07-25 00:00:00,69,9
640,German Grand Prix,,1999-08-01 00:00:00,69,10
641,Hungarian Grand Prix,,1999-08-15 00:00:00,77,11
642,Belgian Grand Prix,,1999-08-29 00:00:00,77,12
643,Italian Grand Prix,,1999-09-12 00:00:00,77,13
644,European Grand Prix,,1999-09-26 00:00:00,77,14
645,Malaysian Grand Prix,,1999-10-17 00:00:00,56,15
646,Japanese Grand Prix,,1999-10-31 00:00:00,56,16
647,Australian Grand Prix,,2000-03-12 00:00:00,58,1
648,Brazilian Grand Prix,,2000-03-26 00:00:00,58,2
649,San Marino Grand Prix,,2000-04-09 00:00:00,58,3
650,British Grand Prix,,2000-04-23 00:00:00,58,4
651,Spanish Grand Prix,,2000-05-07 00:00:00,58,5
652,European Grand Prix,,2000-05-21 00:00:00,67,6
653,Monaco Grand Prix,,2000-06-04 00:00:00,67,7
654,Canadian Grand Prix,,2000-06-18 00:00:00,67,8
655,French Grand Prix,,2000-07-02 00:00:00,72,9
656,Austrian Grand Prix,,2000-07-16 00:00:00,72,10
657,German Grand Prix,,2000-07-30 00:00:00,72,11
658,Hungarian Grand Prix,,2000-08-13 00:00:00,72,12
659,Belgian Grand Prix,,2000-08-27 00:00:00,44,13
660,Italian Grand Prix,,2000-09-10 00:00:00,44,14
661,United States Grand Prix,,2000-09-24 00:00:00,44,15
662,Japanese Grand Prix,,2000-10-08 00:00:00,44,16
663,Malaysian Grand Prix,,2000-10-22 00:00:00,56,17
664,Australian Grand Prix,,2001-03-04 00:00:00,56,1
665,Malaysian Grand Prix,,2001-03-18 00:00:00,55,2
666,Brazilian Grand Prix,,2001-04-01 00:00:00,55,3
667,San Marino Grand Prix,,2001-04-15 00:00:00,55,4
668,Spanish Grand Prix,,2001-04-29 00:00:00,55,5
669,Austrian Grand Prix,,2001-05-13 00:00:00,71,6
670,Monaco Grand Prix,,2001-05-27 00:00:00,71,7
671,Canadian Grand Prix,,2001-06-10 00:00:00,71,8
672,European Grand Prix,,2001-06-24 00:00:00,71,9
673,French Grand Prix,,2001-07-01 00:00:00,72,10
674,British Grand Prix,,2001-07-15 00:00:00,72,11
675,German Grand Prix,,2001-07-29 00:00:00,72,12
676,Hungarian Grand Prix,,2001-08-19 00:00:00,72,13
677,Belgian Grand Prix,,2001-09-02 00:00:00,36,14
678,Italian Grand Prix,,2001-09-16 00:00:00,53,15
679,United States Grand Prix,,2001-09-30 00:00:00,53,16
680,Japanese Grand Prix,,2001-10-14 00:00:00,53,17
681,Australian Grand Prix,,2002-03-03 00:00:00,58,1
682,Malaysian Grand Prix,,2002-03-17 00:00:00,56,2
683,Brazilian Grand Prix,,2002-03-31 00:00:00,56,3
684,San Marino Grand Prix,,2002-04-14 00:00:00,56,4
685,Spanish Grand Prix,,2002-04-28 00:00:00,56,5
686,Austrian Grand Prix,,2002-05-12 00:00:00,71,6
687,Monaco Grand Prix,,2002-05-26 00:00:00,71,7
688,Canadian Grand Prix,,2002-06-09 00:00:00,71,8
689,European Grand Prix,,2002-06-23 00:00:00,71,9
690,British Grand Prix,,2002-07-07 00:00:00,60,10
691,French Grand Prix,,2002-07-21 00:00:00,60,11
692,German Grand Prix,,2002-07-28 00:00:00,67,12
693,Hungarian Grand Prix,,2002-08-18 00:00:00,67,13
694,Belgian Grand Prix,,2002-09-01 00:00:00,67,14
695,Italian Grand Prix,,2002-09-15 00:00:00,67,15
696,United States Grand Prix,,2002-09-29 00:00:00,73,16
697,Japanese Grand Prix,,2002-10-13 00:00:00,73,17
698,Australian Grand Prix,,2003-03-09 00:00:00,58,1
699,Malaysian Grand Prix,,2003-03-23 00:00:00,58,2
700,Brazilian Grand Prix,,2003-04-06 00:00:00,58,3
701,San Marino Grand Prix,,2003-04-20 00:00:00,58,4
702,Spanish Grand Prix,,2003-05-04 00:00:00,65,5
703,Austrian Grand Prix,,2003-05-18 00:00:00,65,6
704,Monaco Grand Prix,,2003-06-01 00:00:00,65,7
705,Canadian Grand Prix,,2003-06-15 00:00:00,65,8
706,European Grand Prix,,2003-06-29 00:00:00,60,9
707,French Grand Prix,,2003-07-06 00:00:00,60,10
708,British Grand Prix,,2003-07-20 00:00:00,60,11
709,German Grand Prix,,2003-08-03 00:00:00,60,12
710,Hungarian Grand Prix,,2003-08-24 00:00:00,60,13
711,Italian Grand Prix,,2003-09-14 00:00:00,53,14
712,United States Grand Prix,,2003-09-28 00:00:00,53,15
713,Japanese Grand Prix,,2003-10-12 00:00:00,53,16
714,Australian Grand Prix,,2004-03-07 00:00:00,58,1
715,Malaysian Grand Prix,,2004-03-21 00:00:00,58,2
716,Bahrain Grand Prix,,2004-04-04 00:00:00,58,3
717,San Marino Grand Prix,,2004-04-25 00:00:00,58,4
718,Spanish Grand Prix,,2004-05-09 00:00:00,66,5
719,Monaco Grand Prix,,2004-05-23 00:00:00,66,6
720,European Grand Prix,,2004-05-30 00:00:00,66,7
721,Canadian Grand Prix,,2004-06-13 00:00:00,66,8
722,United States Grand Prix,,2004-06-20 00:00:00,66,9
723,French Grand Prix,,2004-07-04 00:00:00,70,10
724,British Grand Prix,,2004-07-11 00:00:00,70,11
725,German Grand Prix,,2004-07-25 00:00:00,70,12
726,Hungarian Grand Prix,,2004-08-15 00:00:00,70,13
727,Belgian Grand Prix,,2004-08-29 00:00:00,44,14
728,Italian Grand Prix,,2004-09-12 00:00:00,44,15
729,Chinese Grand Prix,,2004-09-26 00:00:00,44,16
730,Japanese Grand Prix,,2004-10-10 00:00:00,44,17
731,Brazilian Grand Prix,,2004-10-24 00:00:00,71,18
732,Australian Grand Prix,,2005-03-06 00:00:00,57,1
733,Malaysian Grand Prix,,2005-03-20 00:00:00,56,2
734,Bahrain Grand Prix,,2005-04-03 00:00:00,57,3
735,San Marino Grand Prix,,2005-04-24 00:00:00,62,4
736,Spanish Grand Prix,,2005-05-08 00:00:00,66,5
737,Monaco Grand Prix,,2005-05-22 00:00:00,78,6
738,European Grand Prix,,2005-05-29 00:00:00,78,7
739,Canadian Grand Prix,,2005-06-12 00:00:00,78,8
740,United States Grand Prix,,2005-06-19 00:00:00,73,9
741,French Grand Prix,,2005-07-03 00:00:00,70,10
742,British Grand Prix,,2005-07-10 00:00:00,70,11
743,German Grand Prix,,2005-07-24 00:00:00,70,12
744,Hungarian Grand Prix,,2005-07-31 00:00:00,70,13
745,Turkish Grand Prix,,2005-08-21 00:00:00,70,14
746,Italian Grand Prix,,2005-09-04 00:00:00,53,15
747,Belgian Grand Prix,,2005-09-11 00:00:00,53,16
748,Brazilian Grand Prix,,2005-09-25 00:00:00,53,17
749,Japanese Grand Prix,,2005-10-09 00:00:00,53,18
750,Chinese Grand Prix,,2005-10-16 00:00:00,56,19
751,Bahrain Grand Prix,,2006-03-12 00:00:00,56,1
752,Malaysian Grand Prix,,2006-03-19 00:00:00,56,2
753,Australian Grand Prix,,2006-04-02 00:00:00,56,3
754,San Marino Grand Prix,,2006-04-23 00:00:00,56,4
755,European Grand Prix,,2006-05-07 00:00:00,60,5
756,Spanish Grand Prix,,2006-05-14 00:00:00,60,6
757,Monaco Grand Prix,,2006-05-28 00:00:00,60,7
758,British Grand Prix,,2006-06-11 00:00:00,60,8
759,Canadian Grand Prix,,2006-06-25 00:00:00,60,9
760,United States Grand Prix,,2006-07-02 00:00:00,60,10
761,French Grand Prix,,2006-07-16 00:00:00,70,11
762,German Grand Prix,,2006-07-30 00:00:00,70,12
763,Hungarian Grand Prix,,2006-08-06 00:00:00,70,13
764,Turkish Grand Prix,,2006-08-27 00:00:00,70,14
765,Italian Grand Prix,,2006-09-10 00:00:00,53,15
766,Chinese Grand Prix,,2006-10-01 00:00:00,53,16
767,Japanese Grand Prix,,2006-10-08 00:00:00,53,17
768,Brazilian Grand Prix,,2006-10-22 00:00:00,71,18
769,Australian Grand Prix,,2007-03-18 00:00:00,58,1
770,Malaysian Grand Prix,,2007-04-08 00:00:00,56,2
771,Bahrain Grand Prix,,2007-04-15 00:00:00,57,3
772,Spanish Grand Prix,,2007-05-13 00:00:00,57,4
773,Monaco Grand Prix,,2007-05-27 00:00:00,57,5
774,Canadian Grand Prix,,2007-06-10 00:00:00,57,6
775,United States Grand Prix,,2007-06-17 00:00:00,73,7
776,French Grand Prix,,2007-07-01 00:00:00,70,8
777,British Grand Prix,,2007-07-08 00:00:00,70,9
778,European Grand Prix,,2007-07-22 00:00:00,70,10
779,Hungarian Grand Prix,,2007-08-05 00:00:00,70,11
780,Turkish Grand Prix,,2007-08-26 00:00:00,58,12
781,Italian Grand Prix,,2007-09-09 00:00:00,58,13
782,Belgian Grand Prix,,2007-09-16 00:00:00,58,14
783,Japanese Grand Prix,,2007-09-30 00:00:00,58,15
784,Chinese Grand Prix,,2007-10-07 00:00:00,56,16
785,Brazilian Grand Prix,,2007-10-21 00:00:00,71,17
786,Australian Grand Prix,,2008-03-16 00:00:00,58,1
787,Malaysian Grand Prix,,2008-03-23 00:00:00,56,2
788,Bahrain Grand Prix,,2008-04-06 00:00:00,56,3
789,Spanish Grand Prix,,2008-04-27 00:00:00,56,4
790,Turkish Grand Prix,,2008-05-11 00:00:00,56,5
791,Monaco Grand Prix,,2008-05-25 00:00:00,76,6
792,Canadian Grand Prix,,2008-06-08 00:00:00,70,7
793,French Grand Prix,,2008-06-22 00:00:00,70,8
794,British Grand Prix,,2008-07-06 00:00:00,70,9
795,German Grand Prix,,2008-07-20 00:00:00,70,10
796,Hungarian Grand Prix,,2008-08-03 00:00:00,70,11
797,European Grand Prix,,2008-08-24 00:00:00,70,12
798,Belgian Grand Prix,,2008-09-07 00:00:00,70,13
799,Italian Grand Prix,,2008-09-14 00:00:00,70,14
800,Singapore Grand Prix,,2008-09-28 00:00:00,61,15
801,Japanese Grand Prix,,2008-10-12 00:00:00,61,16
802,Chinese Grand Prix,,2008-10-19 00:00:00,61,17
803,Brazilian Grand Prix,,2008-11-02 00:00:00,61,18
804,Australian Grand Prix,,2009-03-29 00:00:00,58,1
805,Malaysian Grand Prix,,2009-04-05 00:00:00,58,2
806,Chinese Grand Prix,,2009-04-19 00:00:00,58,3
807,Bahrain Grand Prix,,2009-04-26 00:00:00,58,4
808,Spanish Grand Prix,,2009-05-10 00:00:00,66,5
809,Monaco Grand Prix,,2009-05-24 00:00:00,66,6
810,Turkish Grand Prix,,2009-06-07 00:00:00,66,7
811,British Grand Prix,,2009-06-21 00:00:00,66,8
812,German Grand Prix,,2009-07-12 00:00:00,60,9
813,Hungarian Grand Prix,,2009-07-26 00:00:00,60,10
814,European Grand Prix,,2009-08-23 00:00:00,60,11
815,Belgian Grand Prix,,2009-08-30 00:00:00,44,12
816,Italian Grand Prix,,2009-09-13 00:00:00,44,13
817,Singapore Grand Prix,,2009-09-27 00:00:00,44,14
818,Japanese Grand Prix,,2009-10-04 00:00:00,53,15
819,Brazilian Grand Prix,,2009-10-18 00:00:00,71,16
820,Abu Dhabi Grand Prix,,2009-11-01 00:00:00,71,17
821,Bahrain Grand Prix,,2010-03-14 00:00:00,49,1
822,Australian Grand Prix,,2010-03-28 00:00:00,49,2
823,Malaysian Grand Prix,,2010-04-04 00:00:00,49,3
824,Chinese Grand Prix,,2010-04-18 00:00:00,49,4
825,Spanish Grand Prix,,2010-05-09 00:00:00,66,5
826,Monaco Grand Prix,,2010-05-16 00:00:00,78,6
827,Turkish Grand Prix,,2010-05-30 00:00:00,58,7
828,Canadian Grand Prix,,2010-06-13 00:00:00,70,8
829,European Grand Prix,,2010-06-27 00:00:00,57,9
830,British Grand Prix,,2010-07-11 00:00:00,57,10
831,German Grand Prix,,2010-07-25 00:00:00,57,11
832,Hungarian Grand Prix,,2010-08-01 00:00:00,57,12
833,Belgian Grand Prix,,2010-08-29 00:00:00,57,13
834,Italian Grand Prix,,2010-09-12 00:00:00,53,14
835,Singapore Grand Prix,,2010-09-26 00:00:00,53,15
836,Japanese Grand Prix,,2010-10-10 00:00:00,53,16
837,Korean Grand Prix,,2010-10-24 00:00:00,53,17
838,Brazilian Grand Prix,,2010-11-07 00:00:00,71,18
839,Abu Dhabi Grand Prix,,2010-11-14 00:00:00,55,19
840,Australian Grand Prix,,2011-03-27 00:00:00,55,1
841,Malaysian Grand Prix,,2011-04-10 00:00:00,56,2
842,Chinese Grand Prix,,2011-04-17 00:00:00,56,3
843,Turkish Grand Prix,,2011-05-08 00:00:00,56,4
844,Spanish Grand Prix,,2011-05-22 00:00:00,56,5
845,Monaco Grand Prix,,2011-05-29 00:00:00,56,6
846,Canadian Grand Prix,,2011-06-12 00:00:00,70,7
847,European Grand Prix,,2011-06-26 00:00:00,70,8
848,British Grand Prix,,2011-07-10 00:00:00,70,9
849,German Grand Prix,,2011-07-24 00:00:00,60,10
850,Hungarian Grand Prix,,2011-07-31 00:00:00,60,11
851,Belgian Grand Prix,,2011-08-28 00:00:00,60,12
852,Italian Grand Prix,,2011-09-11 00:00:00,60,13
853,Singapore Grand Prix,,2011-09-25 00:00:00,61,14
854,Japanese Grand Prix,,2011-10-09 00:00:00,61,15
855,Korean Grand Prix,,2011-10-16 00:00:00,61,16
856,Indian Grand Prix,,2011-10-30 00:00:00,61,17
857,Abu Dhabi Grand Prix,,2011-11-13 00:00:00,55,18
858,Brazilian Grand Prix,,2011-11-27 00:00:00,55,19
859,Australian Grand Prix,,2012-03-18 00:00:00,58,1
860,Malaysian Grand Prix,,2012-03-25 00:00:00,58,2
861,Chinese Grand Prix,,2012-04-15 00:00:00,58,3
862,Bahrain Grand Prix,,2012-04-22 00:00:00,58,4
863,Spanish Grand Prix,,2012-05-13 00:00:00,66,5
864,Monaco Grand Prix,,2012-05-27 00:00:00,66,6
865,Canadian Grand Prix,,2012-06-10 00:00:00,66,7
866,European Grand Prix,,2012-06-24 00:00:00,66,8
867,British Grand Prix,,2012-07-08 00:00:00,52,9
868,German Grand Prix,,2012-07-22 00:00:00,52,10
869,Hungarian Grand Prix,,2012-07-29 00:00:00,52,11
870,Belgian Grand Prix,,2012-09-02 00:00:00,52,12
871,Italian Grand Prix,,2012-09-09 00:00:00,53,13
872,Singapore Grand Prix,,2012-09-23 00:00:00,53,14
873,Japanese Grand Prix,,2012-10-07 00:00:00,53,15
874,Korean Grand Prix,,2012-10-14 00:00:00,53,16
875,Indian Grand Prix,,2012-10-28 00:00:00,60,17
876,Abu Dhabi Grand Prix,,2012-11-04 00:00:00,55,18
877,United States Grand Prix,,2012-11-18 00:00:00,55,19
878,Brazilian Grand Prix,,2012-11-25 00:00:00,55,20
879,Australian Grand Prix,,2013-03-17 00:00:00,58,1
880,Malaysian Grand Prix,,2013-03-24 00:00:00,58,2
881,Chinese Grand Prix,,2013-04-14 00:00:00,58,3
882,Bahrain Grand Prix,,2013-04-21 00:00:00,57,4
883,Spanish Grand Prix,,2013-05-12 00:00:00,66,5
884,Monaco Grand Prix,,2013-05-26 00:00:00,66,6
885,Canadian Grand Prix,,2013-06-09 00:00:00,66,7
886,British Grand Prix,,2013-06-30 00:00:00,66,8
887,German Grand Prix,,2013-07-07 00:00:00,60,9
888,Hungarian Grand Prix,,2013-07-28 00:00:00,70,10
889,Belgian Grand Prix,,2013-08-25 00:00:00,70,11
890,Italian Grand Prix,,2013-09-08 00:00:00,70,12
891,Singapore Grand Prix,,2013-09-22 00:00:00,70,13
892,Korean Grand Prix,,2013-10-06 00:00:00,70,14
893,Japanese Grand Prix,,2013-10-13 00:00:00,53,15
894,Indian Grand Prix,,2013-10-27 00:00:00,53,16
895,Abu Dhabi Grand Prix,,2013-11-03 00:00:00,53,17
896,United States Grand Prix,,2013-11-17 00:00:00,56,18
897,Brazilian Grand Prix,,2013-11-24 00:00:00,71,19
898,Australian Grand Prix,,2014-03-16 00:00:00,57,1
899,Malaysian Grand Prix,,2014-03-30 00:00:00,56,2
900,Bahrain Grand Prix,,2014-04-06 00:00:00,56,3
901,Chinese Grand Prix,,2014-04-20 00:00:00,56,4
902,Spanish Grand Prix,,2014-05-11 00:00:00,56,5
903,Monaco Grand Prix,,2014-05-25 00:00:00,56,6
904,Canadian Grand Prix,,2014-06-08 00:00:00,70,7
905,Austrian Grand Prix,,2014-06-22 00:00:00,71,8
906,British Grand Prix,,2014-07-06 00:00:00,52,9
907,German Grand Prix,,2014-07-20 00:00:00,67,10
908,Hungarian Grand Prix,,2014-07-27 00:00:00,70,11
909,Belgian Grand Prix,,2014-08-24 00:00:00,44,12
910,Italian Grand Prix,,2014-09-07 00:00:00,53,13
911,Singapore Grand Prix,,2014-09-21 00:00:00,53,14
912,Japanese Grand Prix,,2014-10-05 00:00:00,53,15
913,Russian Grand Prix,,2014-10-12 00:00:00,53,16
914,United States Grand Prix,,2014-11-02 00:00:00,53,17
915,Brazilian Grand Prix,,2014-11-09 00:00:00,53,18
916,Abu Dhabi Grand Prix,,2014-11-23 00:00:00,55,19
917,Australian Grand Prix,,2015-03-15 00:00:00,55,1
918,Malaysian Grand Prix,,2015-03-29 00:00:00,56,2
919,Chinese Grand Prix,,2015-04-12 00:00:00,56,3
920,Bahrain Grand Prix,,2015-04-19 00:00:00,56,4
921,Spanish Grand Prix,,2015-05-10 00:00:00,56,5
922,Monaco Grand Prix,,2015-05-24 00:00:00,78,6
923,Canadian Grand Prix,,2015-06-07 00:00:00,78,7
